State,Cases,Range
Arizona,1,1 to 2
California,66,1 to 2
Colorado,7,1 to 2
District of Columbia,20,1 to 2
Florida,27,1 to 2
Georgia,7,1 to 2
Hawaii,6,1 to 2
Illinois,45,1 to 2
Indiana,2,1 to 2
Kentucky,1,1 to 2
Maryland,5,1 to 2
Massachusetts,13,1 to 2
Minnesota,2,1 to 2
Missouri,2,1 to 2
Nebraska,1,1 to 2
Nevada,2,1 to 2
New Jersey,2,1 to 2
New York,63,1 to 2
North Carolina,2,1 to 2
Ohio,2,1 to 2
Oklahoma,2,1 to 2
Oregon,1,1 to 2
Pennsylvania,4,1 to 2
Rhode Island,1,1 to 2
Texas,7,1 to 2
Utah,4,1 to 2
Virginia,3,1 to 2
Washington,6,1 to 2
Non U.S. resident in the U.S.,2,1 to 2
