State,Cases,Range,
Arizona,1,1 to 2,
Arkansas,1,1 to 2,
California,111,1 to 2,
Colorado,7,1 to 2,
Connecticut,1,1 to 2,
District of Columbia,53,1 to 2,
Florida,64,1 to 2,
Georgia,13,1 to 2,
Hawaii,6,1 to 2,
Illinois,62,1 to 2,
Indiana,5,1 to 2,
Iowa,1,1 to 2,
Kentucky,2,1 to 2,
Maryland,9,1 to 2,
Massachusetts,29,1 to 2,
Michigan,1,1 to 2,
Minnesota,6,1 to 2,
Missouri,3,1 to 2,
Nebraska,1,1 to 2,
Nevada,2,1 to 2,
New Hampshire,1,1 to 2,
New Jersey,7,1 to 2,
New York,96,1 to 2,
North Carolina,2,1 to 2,
Ohio,3,1 to 2,
Oklahoma,2,1 to 2,
Oregon,3,1 to 2,
Pennsylvania,17,1 to 2,
Puerto Rico,1,1 to 2,
Rhode Island,1,1 to 2,
Texas,20,1 to 2,
Utah,5,1 to 2,
Virginia,13,1 to 2,
Washington,7,1 to 2,
Wisconsin,1,1 to 2,
Non U.S. resident in the U.S.,3,1 to 2,
