State of Residence,Cases,Range
Alabama,2,1 to 2
Arizona,11,1 to 2
Arkansas,2,1 to 2
California,266,1 to 2
Colorado,20,1 to 2
Connecticut,12,1 to 2
Delaware,1,1 to 2
District of Columbia,108,1 to 2
Florida,154,1 to 2
Georgia,93,1 to 2
Hawaii,8,1 to 2
Idaho,1,1 to 2
Illinois,174,1 to 2
Indiana,11,1 to 2
Iowa,3,1 to 2
Kansas,1,
Kentucky,3,1 to 2
Louisiana,6,1 to 2
Maryland,37,1 to 2
Massachusetts,51,1 to 2
Michigan,13,1 to 2
Minnesota,12,1 to 2
Missouri,4,1 to 2
Nebraska,2,1 to 2
Nevada,6,1 to 2
New Hampshire,1,1 to 2
New Jersey,31,1 to 2
New Mexico,5,1 to 2
New York,489,1 to 2
North Carolina,13,1 to 2
Ohio,7,1 to 2
Oklahoma,3,1 to 2
Oregon,21,1 to 2
Pennsylvania,43,1 to 2
Puerto Rico,4,1 to 2
Rhode Island,4,1 to 2
South Carolina,4,1 to 2
South Dakota,1,1 to 2
Tennessee,6,1 to 2
Texas,76,1 to 2
Utah,13,1 to 2
Virginia,44,1 to 2
Washington,41,1 to 2
West Virginia,1,1 to 2
Wisconsin,6,1 to 2
