State of Residence,Cases,Range
Alabama,2,1 to 2
Arizona,12,1 to 2
Arkansas,2,1 to 2
California,267,1 to 2
Colorado,22,1 to 2
Connecticut,14,1 to 2
Delaware,1,1 to 2
District of Columbia,108,1 to 2
Florida,180,1 to 2
Georgia,110,1 to 2
Hawaii,8,1 to 2
Idaho,1,1 to 2
Illinois,200,1 to 2
Indiana,11,1 to 2
Iowa,3,1 to 2
Kansas,1,
Kentucky,3,1 to 2
Louisiana,8,1 to 2
Maryland,46,1 to 2
Massachusetts,51,1 to 2
Michigan,14,1 to 2
Minnesota,13,1 to 2
Missouri,4,1 to 2
Nebraska,4,1 to 2
Nevada,6,1 to 2
New Hampshire,1,1 to 2
New Jersey,31,1 to 2
New Mexico,6,1 to 2
New York,521,1 to 2
North Carolina,13,1 to 2
Ohio,7,1 to 2
Oklahoma,3,1 to 2
Oregon,21,1 to 2
Pennsylvania,61,1 to 2
Puerto Rico,7,1 to 2
Rhode Island,6,1 to 2
South Carolina,5,1 to 2
South Dakota,1,1 to 2
Tennessee,8,1 to 2
Texas,80,1 to 2
Utah,13,1 to 2
Virginia,44,1 to 2
Washington,43,1 to 2
West Virginia,1,1 to 2
Wisconsin,6,1 to 2
Non-US Resident,3,1 to 2
