State,Cases,Range
Alabama,4,1 to 2
Arizona,29,1 to 2
Arkansas,3,1 to 2
California,356,1 to 2
Colorado,47,1 to 2
Connecticut,19,1 to 2
Delaware,3,1 to 2
District of Columbia,110,1 to 2
Florida,247,1 to 2
Georgia,211,1 to 2
Hawaii,8,1 to 2
Idaho,2,1 to 2
Illinois,238,1 to 2
Indiana,31,1 to 2
Iowa,6,1 to 2
Kansas,2,1 to 2
Kentucky,4,1 to 2
Louisiana,21,1 to 2
Maryland,71,1 to 2
Massachusetts,79,1 to 2
Michigan,27,1 to 2
Minnesota,19,1 to 2
Missouri,5,1 to 2
Nebraska,5,1 to 2
Nevada,8,1 to 2
New Hampshire,3,1 to 2
New Jersey,41,1 to 2
New Mexico,7,1 to 2
New York,900,1 to 2
North Carolina,13,1 to 2
North Dakota,1,1 to 2
Ohio,4,1 to 2
Oklahoma,4,1 to 2
Oregon,36,1 to 2
Pennsylvania,55,1 to 2
Puerto Rico,10,1 to 2
Rhode Island,9,1 to 2
South Carolina,7,1 to 2
South Dakota,1,1 to 2
Tennessee,15,1 to 2
Texas,107,1 to 2
Utah,13,1 to 2
Virginia,40,1 to 2
Washington,60,1 to 2
West Virginia,1,1 to 2
Wisconsin,6,1 to 2
Non-US Resident,3,1 to 2
