date,incident_cases
2022-04-28,1
2022-04-29,1
2022-05-01,1
2022-05-02,1
2022-05-03,1
2022-05-04,1
2022-05-05,1
2022-05-08,1
2022-05-09,2
2022-05-10,1
2022-05-11,1
2022-05-12,3
2022-05-13,3
2022-05-14,3
2022-05-15,7
2022-05-16,2
2022-05-17,4
2022-05-19,3
2022-05-20,5
2022-05-21,1
2022-05-22,4
2022-05-23,9
2022-05-24,7
2022-05-25,8
2022-05-26,3
2022-05-27,4
2022-05-28,8
2022-05-29,11
2022-05-30,8
2022-05-31,7
2022-06-01,11
2022-06-02,9
2022-06-03,7
2022-06-04,8
2022-06-05,9
2022-06-06,9
2022-06-07,10
2022-06-08,11
2022-06-09,8
2022-06-10,9
2022-06-11,7
2022-06-12,5
2022-06-13,10
2022-06-14,10
2022-06-15,6
2022-06-16,13
2022-06-17,8
2022-06-18,9
2022-06-19,12
2022-06-20,13
2022-06-21,13
2022-06-22,14
2022-06-23,15
2022-06-24,11
2022-06-25,17
2022-06-26,11
2022-06-27,25
2022-06-28,15
2022-06-29,17
2022-06-30,12
2022-07-01,22
2022-07-02,18
2022-07-03,21
2022-07-04,22
2022-07-05,11
2022-07-06,11
2022-07-07,15
2022-07-08,16
2022-07-09,15
2022-07-10,18
2022-07-11,26
2022-07-12,18
2022-07-13,14
2022-07-14,10
2022-07-15,13
2022-07-16,6
2022-07-17,11
2022-07-18,19
2022-07-19,17
2022-07-20,12
2022-07-21,15
2022-07-22,7
2022-07-23,7
2022-07-24,3
2022-07-25,8
2022-07-26,4
2022-07-27,2
2022-07-28,5
2022-07-29,3
2022-07-30,1
2022-08-02,2
2022-08-05,140
2022-08-10,51
2022-08-12,50
2022-08-17,53
2022-08-19,56
2022-08-24,38
2022-08-26,22
2022-08-31,23
2022-09-02,38
2022-09-07,28
2022-09-09,4
2022-09-14,17
2022-09-16,25
2022-09-21,16
2022-09-23,10
