pruid,reporting_pt_en,reporting_pt_fr,date,num_confirmedcases_delta,num_confirmedcases_cumulative,num_deaths_delta,num_deaths_cumulative
24,Quebec,Québec,2022-04-28,1,1,,0
1,Canada,Canada,2022-04-28,1,1,,0
24,Quebec,Québec,2022-04-29,1,2,,0
1,Canada,Canada,2022-04-29,1,2,,0
24,Quebec,Québec,2022-05-01,1,3,,0
1,Canada,Canada,2022-05-01,1,3,,0
24,Quebec,Québec,2022-05-02,1,4,,0
1,Canada,Canada,2022-05-02,1,4,,0
24,Quebec,Québec,2022-05-03,1,5,,0
1,Canada,Canada,2022-05-03,1,5,,0
24,Quebec,Québec,2022-05-04,1,6,,0
1,Canada,Canada,2022-05-04,1,6,,0
24,Quebec,Québec,2022-05-05,1,7,,0
1,Canada,Canada,2022-05-05,1,7,,0
24,Quebec,Québec,2022-05-08,1,8,,0
1,Canada,Canada,2022-05-08,1,8,,0
24,Quebec,Québec,2022-05-09,2,10,,0
1,Canada,Canada,2022-05-09,2,10,,0
24,Quebec,Québec,2022-05-10,1,11,,0
1,Canada,Canada,2022-05-10,1,11,,0
24,Quebec,Québec,2022-05-11,1,12,,0
1,Canada,Canada,2022-05-11,1,12,,0
24,Quebec,Québec,2022-05-12,3,15,,0
1,Canada,Canada,2022-05-12,3,15,,0
35,Ontario ,Ontario,2022-05-13,1,1,,0
24,Quebec,Québec,2022-05-13,2,17,,0
1,Canada,Canada,2022-05-13,3,18,,0
24,Quebec,Québec,2022-05-14,3,20,,0
1,Canada,Canada,2022-05-14,3,21,,0
24,Quebec,Québec,2022-05-15,7,27,,0
1,Canada,Canada,2022-05-15,7,28,,0
24,Quebec,Québec,2022-05-16,2,29,,0
1,Canada,Canada,2022-05-16,2,30,,0
48,Alberta,Alberta,2022-05-17,1,1,,0
24,Quebec,Québec,2022-05-17,3,32,,0
1,Canada,Canada,2022-05-17,4,34,,0
24,Quebec,Québec,2022-05-19,3,35,,0
1,Canada,Canada,2022-05-19,3,37,,0
35,Ontario ,Ontario,2022-05-20,2,3,,0
24,Quebec,Québec,2022-05-20,3,38,,0
1,Canada,Canada,2022-05-20,5,42,,0
24,Quebec,Québec,2022-05-21,1,39,,0
1,Canada,Canada,2022-05-21,1,43,,0
24,Quebec,Québec,2022-05-22,4,43,,0
1,Canada,Canada,2022-05-22,4,47,,0
35,Ontario ,Ontario,2022-05-23,3,6,,0
24,Quebec,Québec,2022-05-23,6,49,,0
1,Canada,Canada,2022-05-23,9,56,,0
35,Ontario ,Ontario,2022-05-24,1,7,,0
24,Quebec,Québec,2022-05-24,6,55,,0
1,Canada,Canada,2022-05-24,7,63,,0
59,British Columbia ,Colombie-Britannique,2022-05-25,1,1,,0
35,Ontario ,Ontario,2022-05-25,2,9,,0
24,Quebec,Québec,2022-05-25,5,60,,0
1,Canada,Canada,2022-05-25,8,71,,0
48,Alberta,Alberta,2022-05-26,1,2,,0
35,Ontario ,Ontario,2022-05-26,2,11,,0
1,Canada,Canada,2022-05-26,3,74,,0
35,Ontario ,Ontario,2022-05-27,2,13,,0
24,Quebec,Québec,2022-05-27,2,62,,0
1,Canada,Canada,2022-05-27,4,78,,0
35,Ontario ,Ontario,2022-05-28,2,15,,0
24,Quebec,Québec,2022-05-28,6,68,,0
1,Canada,Canada,2022-05-28,8,86,,0
35,Ontario ,Ontario,2022-05-29,1,16,,0
24,Quebec,Québec,2022-05-29,10,78,,0
1,Canada,Canada,2022-05-29,11,97,,0
59,British Columbia ,Colombie-Britannique,2022-05-30,1,2,,0
35,Ontario ,Ontario,2022-05-30,1,17,,0
24,Quebec,Québec,2022-05-30,6,84,,0
1,Canada,Canada,2022-05-30,8,105,,0
48,Alberta,Alberta,2022-05-31,1,3,,0
35,Ontario ,Ontario,2022-05-31,2,19,,0
24,Quebec,Québec,2022-05-31,4,88,,0
1,Canada,Canada,2022-05-31,7,112,,0
35,Ontario ,Ontario,2022-06-01,4,23,,0
24,Quebec,Québec,2022-06-01,7,95,,0
1,Canada,Canada,2022-06-01,11,123,,0
35,Ontario ,Ontario,2022-06-02,4,27,,0
24,Quebec,Québec,2022-06-02,5,100,,0
1,Canada,Canada,2022-06-02,9,132,,0
35,Ontario ,Ontario,2022-06-03,1,28,,0
24,Quebec,Québec,2022-06-03,6,106,,0
1,Canada,Canada,2022-06-03,7,139,,0
35,Ontario ,Ontario,2022-06-04,3,31,,0
24,Quebec,Québec,2022-06-04,5,111,,0
1,Canada,Canada,2022-06-04,8,147,,0
48,Alberta,Alberta,2022-06-05,1,4,,0
35,Ontario ,Ontario,2022-06-05,2,33,,0
24,Quebec,Québec,2022-06-05,6,117,,0
1,Canada,Canada,2022-06-05,9,156,,0
35,Ontario ,Ontario,2022-06-06,2,35,,0
24,Quebec,Québec,2022-06-06,7,124,,0
1,Canada,Canada,2022-06-06,9,165,,0
35,Ontario ,Ontario,2022-06-07,3,38,,0
24,Quebec,Québec,2022-06-07,7,131,,0
1,Canada,Canada,2022-06-07,10,175,,0
35,Ontario ,Ontario,2022-06-08,6,44,,0
24,Quebec,Québec,2022-06-08,5,136,,0
1,Canada,Canada,2022-06-08,11,186,,0
35,Ontario ,Ontario,2022-06-09,1,45,,0
24,Quebec,Québec,2022-06-09,7,143,,0
1,Canada,Canada,2022-06-09,8,194,,0
35,Ontario ,Ontario,2022-06-10,2,47,,0
24,Quebec,Québec,2022-06-10,7,150,,0
1,Canada,Canada,2022-06-10,9,203,,0
59,British Columbia ,Colombie-Britannique,2022-06-11,1,3,,0
35,Ontario ,Ontario,2022-06-11,2,49,,0
24,Quebec,Québec,2022-06-11,4,154,,0
1,Canada,Canada,2022-06-11,7,210,,0
59,British Columbia ,Colombie-Britannique,2022-06-12,1,4,,0
35,Ontario ,Ontario,2022-06-12,2,51,,0
24,Quebec,Québec,2022-06-12,2,156,,0
1,Canada,Canada,2022-06-12,5,215,,0
35,Ontario ,Ontario,2022-06-13,6,57,,0
24,Quebec,Québec,2022-06-13,4,160,,0
1,Canada,Canada,2022-06-13,10,225,,0
35,Ontario ,Ontario,2022-06-14,7,64,,0
24,Quebec,Québec,2022-06-14,3,163,,0
1,Canada,Canada,2022-06-14,10,235,,0
48,Alberta,Alberta,2022-06-15,1,5,,0
35,Ontario ,Ontario,2022-06-15,2,66,,0
24,Quebec,Québec,2022-06-15,3,166,,0
1,Canada,Canada,2022-06-15,6,241,,0
35,Ontario ,Ontario,2022-06-16,4,70,,0
24,Quebec,Québec,2022-06-16,9,175,,0
1,Canada,Canada,2022-06-16,13,254,,0
35,Ontario ,Ontario,2022-06-17,5,75,,0
24,Quebec,Québec,2022-06-17,3,178,,0
1,Canada,Canada,2022-06-17,8,262,,0
35,Ontario ,Ontario,2022-06-18,4,79,,0
24,Quebec,Québec,2022-06-18,5,183,,0
1,Canada,Canada,2022-06-18,9,271,,0
59,British Columbia ,Colombie-Britannique,2022-06-19,2,6,,0
35,Ontario ,Ontario,2022-06-19,6,85,,0
24,Quebec,Québec,2022-06-19,4,187,,0
1,Canada,Canada,2022-06-19,12,283,,0
59,British Columbia ,Colombie-Britannique,2022-06-20,2,8,,0
35,Ontario ,Ontario,2022-06-20,4,89,,0
24,Quebec,Québec,2022-06-20,7,194,,0
1,Canada,Canada,2022-06-20,13,296,,0
59,British Columbia ,Colombie-Britannique,2022-06-21,1,9,,0
35,Ontario ,Ontario,2022-06-21,6,95,,0
24,Quebec,Québec,2022-06-21,6,200,,0
1,Canada,Canada,2022-06-21,13,309,,0
59,British Columbia ,Colombie-Britannique,2022-06-22,1,10,,0
35,Ontario ,Ontario,2022-06-22,7,102,,0
24,Quebec,Québec,2022-06-22,6,206,,0
1,Canada,Canada,2022-06-22,14,323,,0
59,British Columbia ,Colombie-Britannique,2022-06-23,1,11,,0
35,Ontario ,Ontario,2022-06-23,8,110,,0
24,Quebec,Québec,2022-06-23,6,212,,0
1,Canada,Canada,2022-06-23,15,338,,0
48,Alberta,Alberta,2022-06-24,1,6,,0
59,British Columbia ,Colombie-Britannique,2022-06-24,1,12,,0
35,Ontario ,Ontario,2022-06-24,5,115,,0
24,Quebec,Québec,2022-06-24,4,216,,0
1,Canada,Canada,2022-06-24,11,349,,0
48,Alberta,Alberta,2022-06-25,1,7,,0
59,British Columbia ,Colombie-Britannique,2022-06-25,2,14,,0
35,Ontario ,Ontario,2022-06-25,10,125,,0
24,Quebec,Québec,2022-06-25,4,220,,0
1,Canada,Canada,2022-06-25,17,366,,0
48,Alberta,Alberta,2022-06-26,1,8,,0
59,British Columbia ,Colombie-Britannique,2022-06-26,1,15,,0
35,Ontario ,Ontario,2022-06-26,5,130,,0
24,Quebec,Québec,2022-06-26,4,224,,0
1,Canada,Canada,2022-06-26,11,377,,0
59,British Columbia ,Colombie-Britannique,2022-06-27,2,17,,0
35,Ontario ,Ontario,2022-06-27,15,145,,0
24,Quebec,Québec,2022-06-27,8,232,,0
1,Canada,Canada,2022-06-27,25,402,,0
59,British Columbia ,Colombie-Britannique,2022-06-28,1,18,,0
35,Ontario ,Ontario,2022-06-28,8,153,,0
24,Quebec,Québec,2022-06-28,6,238,,0
1,Canada,Canada,2022-06-28,15,417,,0
59,British Columbia ,Colombie-Britannique,2022-06-29,2,20,,0
35,Ontario ,Ontario,2022-06-29,12,165,,0
24,Quebec,Québec,2022-06-29,2,240,,0
47,Saskatchewan,Saskatchewan,2022-06-29,1,1,,0
1,Canada,Canada,2022-06-29,17,434,,0
48,Alberta,Alberta,2022-06-30,1,9,,0
35,Ontario ,Ontario,2022-06-30,7,172,,0
24,Quebec,Québec,2022-06-30,4,244,,0
1,Canada,Canada,2022-06-30,12,446,,0
59,British Columbia ,Colombie-Britannique,2022-07-01,6,26,,0
35,Ontario ,Ontario,2022-07-01,12,184,,0
24,Quebec,Québec,2022-07-01,4,248,,0
1,Canada,Canada,2022-07-01,22,468,,0
59,British Columbia ,Colombie-Britannique,2022-07-02,2,28,,0
35,Ontario ,Ontario,2022-07-02,9,193,,0
24,Quebec,Québec,2022-07-02,7,255,,0
1,Canada,Canada,2022-07-02,18,486,,0
48,Alberta,Alberta,2022-07-03,2,11,,0
59,British Columbia ,Colombie-Britannique,2022-07-03,3,31,,0
35,Ontario ,Ontario,2022-07-03,12,205,,0
24,Quebec,Québec,2022-07-03,4,259,,0
1,Canada,Canada,2022-07-03,21,507,,0
59,British Columbia ,Colombie-Britannique,2022-07-04,1,32,,0
35,Ontario ,Ontario,2022-07-04,14,219,,0
24,Quebec,Québec,2022-07-04,7,266,,0
1,Canada,Canada,2022-07-04,22,529,,0
59,British Columbia ,Colombie-Britannique,2022-07-05,2,34,,0
35,Ontario ,Ontario,2022-07-05,6,225,,0
24,Quebec,Québec,2022-07-05,1,267,,0
47,Saskatchewan,Saskatchewan,2022-07-05,1,2,,0
60,Yukon,Yukon,2022-07-05,1,1,,0
1,Canada,Canada,2022-07-05,11,540,,0
35,Ontario ,Ontario,2022-07-06,6,231,,0
24,Quebec,Québec,2022-07-06,5,272,,0
1,Canada,Canada,2022-07-06,11,551,,0
59,British Columbia ,Colombie-Britannique,2022-07-07,2,36,,0
35,Ontario ,Ontario,2022-07-07,10,241,,0
24,Quebec,Québec,2022-07-07,3,275,,0
1,Canada,Canada,2022-07-07,15,566,,0
59,British Columbia ,Colombie-Britannique,2022-07-08,1,37,,0
35,Ontario ,Ontario,2022-07-08,11,252,,0
24,Quebec,Québec,2022-07-08,4,279,,0
1,Canada,Canada,2022-07-08,16,582,,0
59,British Columbia ,Colombie-Britannique,2022-07-09,3,40,,0
35,Ontario ,Ontario,2022-07-09,9,261,,0
24,Quebec,Québec,2022-07-09,3,282,,0
