time_stamp,snap_shot,State,Abbr,Cases,Range
2022-07-18,2022-07-19 19 16 51,Alabama,AL,2,1 to 2
2022-07-18,2022-07-19 19 16 51,Arizona,AZ,12,1 to 2
2022-07-18,2022-07-19 19 16 51,Arkansas,AR,2,1 to 2
2022-07-18,2022-07-19 19 16 51,California,CA,267,1 to 2
2022-07-18,2022-07-19 19 16 51,Colorado,CO,22,1 to 2
2022-07-18,2022-07-19 19 16 51,Connecticut,CT,14,1 to 2
2022-07-18,2022-07-19 19 16 51,Delaware,DE,1,1 to 2
2022-07-18,2022-07-19 19 16 51,District of Columbia,DC,108,1 to 2
2022-07-18,2022-07-19 19 16 51,Florida,FL,180,1 to 2
2022-07-18,2022-07-19 19 16 51,Georgia,GA,110,1 to 2
2022-07-18,2022-07-19 19 16 51,Hawaii,HI,8,1 to 2
2022-07-18,2022-07-19 19 16 51,Idaho,ID,1,1 to 2
2022-07-18,2022-07-19 19 16 51,Illinois,IL,200,1 to 2
2022-07-18,2022-07-19 19 16 51,Indiana,IN,11,1 to 2
2022-07-18,2022-07-19 19 16 51,Iowa,IA,3,1 to 2
2022-07-18,2022-07-19 19 16 51,Kansas,KS,1,
2022-07-18,2022-07-19 19 16 51,Kentucky,KY,3,1 to 2
2022-07-18,2022-07-19 19 16 51,Louisiana,LA,8,1 to 2
2022-07-18,2022-07-19 19 16 51,Maryland,MD,46,1 to 2
2022-07-18,2022-07-19 19 16 51,Massachusetts,MA,51,1 to 2
2022-07-18,2022-07-19 19 16 51,Michigan,MI,14,1 to 2
2022-07-18,2022-07-19 19 16 51,Minnesota,MN,13,1 to 2
2022-07-18,2022-07-19 19 16 51,Missouri,MO,4,1 to 2
2022-07-18,2022-07-19 19 16 51,Nebraska,NE,4,1 to 2
2022-07-18,2022-07-19 19 16 51,Nevada,NV,6,1 to 2
2022-07-18,2022-07-19 19 16 51,New Hampshire,NH,1,1 to 2
2022-07-18,2022-07-19 19 16 51,New Jersey,NJ,31,1 to 2
2022-07-18,2022-07-19 19 16 51,New Mexico,NM,6,1 to 2
2022-07-18,2022-07-19 19 16 51,New York,NY,521,1 to 2
2022-07-18,2022-07-19 19 16 51,North Carolina,NC,13,1 to 2
2022-07-18,2022-07-19 19 16 51,Ohio,OH,7,1 to 2
2022-07-18,2022-07-19 19 16 51,Oklahoma,OK,3,1 to 2
2022-07-18,2022-07-19 19 16 51,Oregon,OR,21,1 to 2
2022-07-18,2022-07-19 19 16 51,Pennsylvania,PA,61,1 to 2
2022-07-18,2022-07-19 19 16 51,Puerto Rico,PR,7,1 to 2
2022-07-18,2022-07-19 19 16 51,Rhode Island,RI,6,1 to 2
2022-07-18,2022-07-19 19 16 51,South Carolina,SC,5,1 to 2
2022-07-18,2022-07-19 19 16 51,South Dakota,SD,1,1 to 2
2022-07-18,2022-07-19 19 16 51,Tennessee,TN,8,1 to 2
2022-07-18,2022-07-19 19 16 51,Texas,TX,80,1 to 2
2022-07-18,2022-07-19 19 16 51,Utah,UT,13,1 to 2
2022-07-18,2022-07-19 19 16 51,Virginia,VA,44,1 to 2
2022-07-18,2022-07-19 19 16 51,Washington,WA,43,1 to 2
2022-07-18,2022-07-19 19 16 51,West Virginia,WV,1,1 to 2
2022-07-18,2022-07-19 19 16 51,Wisconsin,WI,6,1 to 2
2022-07-18,2022-07-19 19 16 51,Non-US Resident,Non-US Resident,3,1 to 2
2022-06-14,2022-06-14 23 52 08,Arizona,AZ,1,1 to 2
2022-06-14,2022-06-14 23 52 08,California,CA,21,1 to 2
2022-06-14,2022-06-14 23 52 08,Colorado,CO,4,1 to 2
2022-06-14,2022-06-14 23 52 08,District of Columbia,DC,4,1 to 2
2022-06-14,2022-06-14 23 52 08,Florida,FL,9,1 to 2
2022-06-14,2022-06-14 23 52 08,Georgia,GA,3,1 to 2
2022-06-14,2022-06-14 23 52 08,Hawaii,HI,5,1 to 2
2022-06-14,2022-06-14 23 52 08,Illinois,IL,13,1 to 2
2022-06-14,2022-06-14 23 52 08,Massachusetts,MA,7,1 to 2
2022-06-14,2022-06-14 23 52 08,Maryland,MD,1,1 to 2
2022-06-14,2022-06-14 23 52 08,Nevada,NV,1,1 to 2
2022-06-14,2022-06-14 23 52 08,New York,NY,17,1 to 2
2022-06-14,2022-06-14 23 52 08,Ohio,OH,1,1 to 2
2022-06-14,2022-06-14 23 52 08,Oklahoma,OK,1,1 to 2
2022-06-14,2022-06-14 23 52 08,Oregon,OR,1,1 to 2
2022-06-14,2022-06-14 23 52 08,Pennsylvania,PA,2,1 to 2
2022-06-14,2022-06-14 23 52 08,Rhode Island,RI,1,1 to 2
