Date_entry,counts
2022-05-18,5
2022-05-19,9
2022-05-20,13
2022-05-21,14
2022-05-22,16
2022-05-23,17
2022-05-24,20
2022-05-25,21
2022-05-26,23
2022-05-27,25
2022-05-28,27
2022-05-29,28
2022-05-30,29
2022-05-31,31
2022-06-01,34
2022-06-02,37
2022-06-03,38
2022-06-04,38
2022-06-05,38
2022-06-06,40
2022-06-07,42
2022-06-08,43
2022-06-09,44
2022-06-10,46
2022-06-11,47
2022-06-12,47
2022-06-13,49
2022-06-14,49
2022-06-15,50
2022-06-16,51
2022-06-17,51
2022-06-18,52
2022-06-19,52
2022-06-20,54
2022-06-21,56
2022-06-22,56
2022-06-23,57
2022-06-24,63
2022-06-25,63
2022-06-26,63
2022-06-27,64
2022-06-28,65
2022-06-29,65
2022-06-30,67
2022-07-01,67
2022-07-02,67
2022-07-03,67
2022-07-04,67
2022-07-05,67
2022-07-06,70
2022-07-07,72
2022-07-08,72
2022-07-09,72
2022-07-10,72
2022-07-11,73
2022-07-12,73
2022-07-13,74
2022-07-14,76
2022-07-15,77
2022-07-16,77
2022-07-17,77
2022-07-18,78
2022-07-19,78
2022-07-20,78
2022-07-21,79
2022-07-22,80
2022-07-23,80
2022-07-24,80
2022-07-25,81
2022-07-26,81
2022-07-27,82
2022-07-31,84
