DateRep,CountryExp,CountryCode,Source,ConfCases,snap_shot
2022-04-05,Austria,AT,TESSy,0,2022-08-23
2022-04-05,Belgium,BE,TESSy,0,2022-08-23
2022-04-05,Bulgaria,BG,TESSy,0,2022-08-23
2022-04-05,Croatia,HR,TESSy,0,2022-08-23
2022-04-05,Cyprus,CY,TESSy,0,2022-08-23
2022-04-05,Czechia,CZ,TESSy,0,2022-08-23
2022-04-05,Denmark,DK,EI,0,2022-08-23
2022-04-05,Estonia,EE,TESSy,0,2022-08-23
2022-04-05,Finland,FI,EI,0,2022-08-23
2022-04-05,France,FR,TESSy,0,2022-08-23
2022-04-05,Germany,DE,TESSy,0,2022-08-23
2022-04-05,Greece,EL,TESSy,0,2022-08-23
2022-04-05,Hungary,HU,TESSy,0,2022-08-23
2022-04-05,Iceland,IS,TESSy,0,2022-08-23
2022-04-05,Ireland,IE,TESSy,0,2022-08-23
2022-04-05,Italy,IT,TESSy,0,2022-08-23
2022-04-05,Latvia,LV,TESSy,0,2022-08-23
2022-04-05,Lithuania,LT,TESSy,0,2022-08-23
2022-04-05,Luxembourg,LU,TESSy,0,2022-08-23
2022-04-05,Malta,MT,TESSy,0,2022-08-23
2022-04-05,Netherlands,NL,TESSy,0,2022-08-23
2022-04-05,Norway,NO,EI,1,2022-08-23
2022-04-05,Poland,PL,TESSy,0,2022-08-23
2022-04-05,Portugal,PT,EI,0,2022-08-23
2022-04-05,Romania,RO,TESSy,0,2022-08-23
2022-04-05,Slovakia,SK,TESSy,0,2022-08-23
2022-04-05,Slovenia,SI,TESSy,0,2022-08-23
2022-04-05,Spain,ES,EI,0,2022-08-23
2022-04-05,Sweden,SE,TESSy,0,2022-08-23
2022-05-09,Austria,AT,TESSy,0,2022-08-23
2022-05-09,Belgium,BE,TESSy,0,2022-08-23
2022-05-09,Bulgaria,BG,TESSy,0,2022-08-23
2022-05-09,Croatia,HR,TESSy,0,2022-08-23
2022-05-09,Cyprus,CY,TESSy,0,2022-08-23
2022-05-09,Czechia,CZ,TESSy,0,2022-08-23
2022-05-09,Denmark,DK,EI,0,2022-08-23
2022-05-09,Estonia,EE,TESSy,0,2022-08-23
2022-05-09,Finland,FI,EI,0,2022-08-23
2022-05-09,France,FR,TESSy,0,2022-08-23
2022-05-09,Germany,DE,TESSy,0,2022-08-23
2022-05-09,Greece,EL,TESSy,0,2022-08-23
2022-05-09,Hungary,HU,TESSy,0,2022-08-23
2022-05-09,Iceland,IS,TESSy,0,2022-08-23
2022-05-09,Ireland,IE,TESSy,0,2022-08-23
2022-05-09,Italy,IT,TESSy,1,2022-08-23
2022-05-09,Latvia,LV,TESSy,0,2022-08-23
2022-05-09,Lithuania,LT,TESSy,0,2022-08-23
2022-05-09,Luxembourg,LU,TESSy,0,2022-08-23
2022-05-09,Malta,MT,TESSy,0,2022-08-23
2022-05-09,Netherlands,NL,TESSy,0,2022-08-23
2022-05-09,Norway,NO,EI,0,2022-08-23
2022-05-09,Poland,PL,TESSy,0,2022-08-23
2022-05-09,Portugal,PT,EI,0,2022-08-23
2022-05-09,Romania,RO,TESSy,0,2022-08-23
2022-05-09,Slovakia,SK,TESSy,0,2022-08-23
2022-05-09,Slovenia,SI,TESSy,0,2022-08-23
2022-05-09,Spain,ES,EI,0,2022-08-23
2022-05-09,Sweden,SE,TESSy,0,2022-08-23
2022-05-15,Austria,AT,TESSy,0,2022-08-23
2022-05-15,Belgium,BE,TESSy,0,2022-08-23
2022-05-15,Bulgaria,BG,TESSy,0,2022-08-23
2022-05-15,Croatia,HR,TESSy,0,2022-08-23
2022-05-15,Cyprus,CY,TESSy,0,2022-08-23
2022-05-15,Czechia,CZ,TESSy,0,2022-08-23
2022-05-15,Denmark,DK,EI,0,2022-08-23
2022-05-15,Estonia,EE,TESSy,0,2022-08-23
2022-05-15,Finland,FI,EI,0,2022-08-23
2022-05-15,France,FR,TESSy,0,2022-08-23
2022-05-15,Germany,DE,TESSy,0,2022-08-23
2022-05-15,Greece,EL,TESSy,0,2022-08-23
2022-05-15,Hungary,HU,TESSy,0,2022-08-23
2022-05-15,Iceland,IS,TESSy,0,2022-08-23
2022-05-15,Ireland,IE,TESSy,0,2022-08-23
2022-05-15,Italy,IT,TESSy,4,2022-08-23
2022-05-15,Latvia,LV,TESSy,0,2022-08-23
2022-05-15,Lithuania,LT,TESSy,0,2022-08-23
2022-05-15,Luxembourg,LU,TESSy,0,2022-08-23
2022-05-15,Malta,MT,TESSy,0,2022-08-23
2022-05-15,Netherlands,NL,TESSy,0,2022-08-23
2022-05-15,Norway,NO,EI,0,2022-08-23
2022-05-15,Poland,PL,TESSy,0,2022-08-23
2022-05-15,Portugal,PT,EI,0,2022-08-23
2022-05-15,Romania,RO,TESSy,0,2022-08-23
2022-05-15,Slovakia,SK,TESSy,0,2022-08-23
2022-05-15,Slovenia,SI,TESSy,0,2022-08-23
2022-05-15,Spain,ES,EI,0,2022-08-23
2022-05-15,Sweden,SE,TESSy,0,2022-08-23
2022-05-16,Austria,AT,TESSy,0,2022-08-23
2022-05-16,Belgium,BE,TESSy,0,2022-08-23
2022-05-16,Bulgaria,BG,TESSy,0,2022-08-23
2022-05-16,Croatia,HR,TESSy,0,2022-08-23
2022-05-16,Cyprus,CY,TESSy,0,2022-08-23
2022-05-16,Czechia,CZ,TESSy,0,2022-08-23
2022-05-16,Denmark,DK,EI,0,2022-08-23
2022-05-16,Estonia,EE,TESSy,0,2022-08-23
2022-05-16,Finland,FI,EI,0,2022-08-23
2022-05-16,France,FR,TESSy,0,2022-08-23
2022-05-16,Germany,DE,TESSy,0,2022-08-23
2022-05-16,Greece,EL,TESSy,0,2022-08-23
2022-05-16,Hungary,HU,TESSy,0,2022-08-23
2022-05-16,Iceland,IS,TESSy,0,2022-08-23
2022-05-16,Ireland,IE,TESSy,0,2022-08-23
2022-05-16,Italy,IT,TESSy,2,2022-08-23
