Date_entry,counts,cumulative_cases
2022-05-18,62.0,62.0
2022-05-19,39.0,101.0
2022-05-20,33.0,134.0
2022-05-21,40.0,174.0
2022-05-22,5.0,179.0
2022-05-23,57.0,236.0
2022-05-24,44.0,280.0
2022-05-25,32.0,312.0
2022-05-26,90.0,402.0
2022-05-27,44.0,446.0
2022-05-28,2.0,448.0
2022-05-29,73.0,521.0
2022-05-30,42.0,563.0
2022-05-31,127.0,690.0
2022-06-01,50.0,740.0
2022-06-02,75.0,815.0
2022-06-03,84.0,899.0
2022-06-04,19.0,918.0
2022-06-05,70.0,978.5
2022-06-06,121.0,1039.0
2022-06-07,69.0,1108.0
2022-06-08,115.0,1223.0
2022-06-09,105.0,1328.0
2022-06-10,117.0,1445.0
2022-06-11,6.0,1451.0
2022-06-12,1.0,1452.0
2022-06-13,132.0,1584.0
2022-06-14,167.0,1751.0
2022-06-15,173.0,1924.0
2022-06-16,69.0,1993.0
2022-06-17,440.0,2433.0
2022-06-18,337.6666666666667,2477.3333333333335
2022-06-19,235.33333333333334,2521.6666666666665
2022-06-20,133.0,2566.0
2022-06-21,450.0,3016.0
2022-06-22,160.0,3176.0
2022-06-23,183.0,3359.0
2022-06-24,537.0,3896.0
2022-06-25,415.6666666666667,3953.6666666666665
2022-06-26,294.33333333333337,4011.3333333333335
2022-06-27,173.0,4069.0
2022-06-28,308.0,4377.0
2022-06-29,298.0,4675.0
2022-06-30,215.0,4890.0
2022-07-01,215.0,4890.0
