Day,snap_shot,location,location_abbr,cases,Source
2022-06-10,2022-06-12 19:55:04,Massachusetts,MA,1,CDC
2022-06-10,2022-06-12 19:55:04,Florida,FL,4,CDC
2022-06-10,2022-06-12 19:55:04,Georgia,GA,1,CDC
2022-06-10,2022-06-12 19:55:04,Hawaii,HI,2,CDC
2022-06-10,2022-06-12 19:55:04,Illinois,IL,3,CDC
2022-06-10,2022-06-12 19:55:04,Utah,UT,2,CDC
2022-06-10,2022-06-12 19:55:04,California,CA,8,CDC
2022-06-10,2022-06-12 19:55:04,Washington,WA,1,CDC
2022-06-10,2022-06-12 19:55:04,Virginia,VA,1,CDC
2022-06-10,2022-06-12 19:55:04,New York,NY,9,CDC
2022-06-10,2022-06-12 19:55:04,Pennsylvania,PA,1,CDC
2022-06-10,2022-06-12 19:55:04,Colorado,CO,3,CDC
2022-06-10,2022-06-12 19:55:04,District of Columbia,DC,2,CDC
2022-06-10,2022-06-12 19:55:04,Arizona,AZ,1,CDC
2022-06-10,2022-06-12 19:55:04,Texas,TX,1,CDC
2022-06-13,2022-06-13 22:06:44,Arizona,AZ,1,CDC
2022-06-13,2022-06-13 22:06:44,California,CA,21,CDC
2022-06-13,2022-06-13 22:06:44,Colorado,CO,4,CDC
2022-06-13,2022-06-13 22:06:44,District of Columbia,DC,4,CDC
2022-06-13,2022-06-13 22:06:44,Florida,FL,9,CDC
2022-06-13,2022-06-13 22:06:44,Georgia,GA,3,CDC
2022-06-13,2022-06-13 22:06:44,Hawaii,HI,5,CDC
2022-06-13,2022-06-13 22:06:44,Illinois,IL,13,CDC
2022-06-13,2022-06-13 22:06:44,Massachusetts,MA,7,CDC
2022-06-13,2022-06-13 22:06:44,Maryland,MD,1,CDC
2022-06-13,2022-06-13 22:06:44,Nevada,NV,1,CDC
2022-06-13,2022-06-13 22:06:44,New York,NY,17,CDC
2022-06-13,2022-06-13 22:06:44,Ohio,OH,1,CDC
2022-06-13,2022-06-13 22:06:44,Oklahoma,OK,1,CDC
2022-06-13,2022-06-13 22:06:44,Oregon,OR,1,CDC
2022-06-13,2022-06-13 22:06:44,Pennsylvania,PA,2,CDC
2022-06-13,2022-06-13 22:06:44,Rhode Island,RI,1,CDC
2022-06-13,2022-06-13 22:06:44,Texas,TX,2,CDC
2022-06-13,2022-06-13 22:06:44,Utah,UT,2,CDC
2022-06-13,2022-06-13 22:06:44,Virginia,VA,1,CDC
2022-06-13,2022-06-13 22:06:44,Washington,WA,2,CDC
2022-06-13,2022-06-13 22:06:44,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,CDC
2022-06-14,2022-06-14 23:52:08,Arizona,AZ,1,CDC
2022-06-14,2022-06-14 23:52:08,California,CA,21,CDC
2022-06-14,2022-06-14 23:52:08,Colorado,CO,4,CDC
2022-06-14,2022-06-14 23:52:08,District of Columbia,DC,4,CDC
2022-06-14,2022-06-14 23:52:08,Florida,FL,9,CDC
2022-06-14,2022-06-14 23:52:08,Georgia,GA,3,CDC
2022-06-14,2022-06-14 23:52:08,Hawaii,HI,5,CDC
2022-06-14,2022-06-14 23:52:08,Illinois,IL,13,CDC
2022-06-14,2022-06-14 23:52:08,Massachusetts,MA,7,CDC
2022-06-14,2022-06-14 23:52:08,Maryland,MD,1,CDC
2022-06-14,2022-06-14 23:52:08,Nevada,NV,1,CDC
2022-06-14,2022-06-14 23:52:08,New York,NY,17,CDC
2022-06-14,2022-06-14 23:52:08,Ohio,OH,1,CDC
2022-06-14,2022-06-14 23:52:08,Oklahoma,OK,1,CDC
2022-06-14,2022-06-14 23:52:08,Oregon,OR,1,CDC
2022-06-14,2022-06-14 23:52:08,Pennsylvania,PA,2,CDC
2022-06-14,2022-06-14 23:52:08,Rhode Island,RI,1,CDC
2022-06-14,2022-06-14 23:52:08,Texas,TX,2,CDC
2022-06-14,2022-06-14 23:52:08,Utah,UT,2,CDC
2022-06-14,2022-06-14 23:52:08,Virginia,VA,1,CDC
2022-06-14,2022-06-14 23:52:08,Washington,WA,2,CDC
2022-06-14,2022-06-14 23:52:08,Non U.S. resident in the U.S.,Non U.S. resident in the U.S.,1,CDC
2022-06-15,2022-06-15 23:37:06,Arizona,AZ,1,CDC
2022-06-15,2022-06-15 23:37:06,California,CA,21,CDC
2022-06-15,2022-06-15 23:37:06,Colorado,CO,4,CDC
2022-06-15,2022-06-15 23:37:06,District of Columbia,DC,4,CDC
2022-06-15,2022-06-15 23:37:06,Florida,FL,9,CDC
