Date_entry,counts,cumulative_cases
2022-05-18,1.0,1.0
2022-05-19,1.0,2.0
2022-05-20,1.0,2.3333333333333335
2022-05-21,1.0,2.6666666666666665
2022-05-22,1.0,3.0
2022-05-23,4.0,7.0
2022-05-24,1.0,8.0
2022-05-25,1.5,9.0
2022-05-26,2.0,10.0
2022-05-27,3.0,13.0
2022-05-28,2.3333333333333335,13.333333333333334
2022-05-29,1.6666666666666667,13.666666666666666
2022-05-30,1.0,14.0
2022-05-31,2.0,16.0
2022-06-01,3.0,19.0
2022-06-02,3.0,22.0
2022-06-03,5.0,27.0
2022-06-04,1.0,28.0
2022-06-05,1.0,28.5
2022-06-06,1.0,29.0
2022-06-07,6.0,35.0
2022-06-08,5.0,40.0
2022-06-09,9.0,49.0
2022-06-10,2.0,51.0
2022-06-11,2.0,52.0
2022-06-12,2.0,53.0
2022-06-13,7.0,59.0
2022-06-14,12.0,65.0
2022-06-15,8.0,73.0
2022-06-16,27.0,100.0
2022-06-17,13.0,113.0
2022-06-18,9.333333333333334,113.66666666666667
2022-06-19,5.666666666666667,114.33333333333333
2022-06-20,2.0,115.0
2022-06-21,27.0,142.0
2022-06-22,14.0,156.0
2022-06-23,17.0,173.0
2022-06-24,28.0,201.0
2022-06-25,33.0,215.33333333333334
2022-06-26,38.0,229.66666666666666
2022-06-27,43.0,244.0
2022-06-28,62.0,306.0
2022-06-29,45.0,351.0
2022-06-30,44.0,395.0
2022-07-01,44.0,395.0
